source_id,owner,dataset,domain,source_type,official_nonofficial,url,access_method,authentication,cost,rate_limits,historical_coverage,divisions_covered,team_coverage,player_coverage,grain,update_cadence,format,estimated_data_volume,stable_ids,join_keys,timestamp_fields,point_in_time_feasibility,known_at_feasibility,source_quality,completeness,schema_stability,licensing,redistribution,attribution,acquisition_priority,fallback_source,project_role,inclusion_status,exclusion_reason,notes
SRC-001,SportsDataverse / cfbfastR,cfbfastR-cfb-data,games/PBP/box/advanced/rosters/betting,open derived repository,NONOFFICIAL_DERIVED,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,source-specific,dataset-dependent; broad modern CFB,FBS/FCS primarily,varies,varies,play/team/player/game/roster,repository releases,CSV/Parquet/RDS/GitHub release assets,large,source-specific,canonical mapping required,game/start/date plus source fields; derived release time not universal,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,REVIEW_REQUIRED,HIGH,varies,MEDIUM,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,source-specific,PRIMARY,SRC-002;SRC-015,bulk historical national foundation,INCLUDE,,"Current repo documents ~19 primary dataset families and ~928 columns; many feeds are derived from ESPN/raw upstream sources, so upstream provenance/rights must remain explicit."
SRC-002,Rad Sports Analytics / CollegeFootballData,CollegeFootballData API,games/PBP/drives/teams/players/recruiting/transfers/ratings/weather/betting,public/paid API,NONOFFICIAL_AGGREGATOR,https://api.collegefootballdata.com/,REST; exporter; GraphQL tiers,API key,free + paid tiers,tier-based,endpoint-dependent; broad modern/historical CFB,FBS/FCS; some lower-division context,varies,varies,endpoint-specific,API live/periodic,JSON REST/GraphQL,large,source-specific,canonical mapping required,"endpoint-specific; game start, line data, etc.",FIELD_BY_FIELD_PIT_REVIEW,REVIEW_REQUIRED,HIGH,varies,MEDIUM,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,source-specific,PRIMARY,SRC-001;SRC-015;commercial providers,structured API and validation/enrichment,INCLUDE,,"Current Swagger v5.17.0 exposes games, PBP, drives, portal, recruiting, ratings, betting, draft, advanced metrics and live endpoints. Tier/terms are current and must be snapshot-recorded."
SRC-003,Open-Meteo,Historical Weather / Historical Forecast,weather,public API,NONOFFICIAL_WEATHER_AGGREGATOR,https://open-meteo.com/en/docs/historical-weather-api,REST API,none/customer API key for paid,free noncommercial + paid commercial,source-specific,observed/reanalysis from 1940; forecast archive varies,all venues,varies,varies,hourly/daily grid,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,valid time; API/model metadata,OBSERVED_POSTGAME_OR_CONTEXT_ONLY,REVIEW_REQUIRED,HIGH,varies,MEDIUM,CC_BY_4_0_DATA_PLUS_API_TERMS,ATTRIBUTION_AND_PLAN_REVIEW,source-specific,SECONDARY,SRC-027;SRC-028;SRC-029,normalized weather convenience layer,INCLUDE,,Observed/reanalysis must never substitute for an earlier forecast snapshot.
SRC-004,Knight Commission / Newhouse,College Athletics Database,resources/finance,public database,NONOFFICIAL_CURATED,https://www.knightnewhousedata.org/,web/custom reporting,none,free,source-specific,historical public-college athletics finance; current site updated through 2025 data,college institutions,varies,varies,institution-year,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,fiscal/reporting year,HISTORICAL_AGGREGATE_ONLY,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-007;SRC-008;SRC-044,resource context/validation,INCLUDE,,"Useful for program-level resource context, not direct private-school football spending reconstruction."
SRC-005,Official school athletics sites,rosters/schedules/game notes/media guides,team/roster/context,official web documents,OFFICIAL,school-specific,HTML/PDF/download,none,free,source-specific,school-dependent; A&M deep archive,all where site exists,varies,varies,team/player/game/document,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,page/document publication/update when available,DIRECT_PREGAME_CANDIDATE_IF_PUBLICATION_DATED,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-001;SRC-002;conference sites,official team evidence and validation,INCLUDE,,Archive every retrieval/publication version; do not infer historical visibility from current edited page.
SRC-006,PFF,College football premium grades/data,advanced charting,commercial,NONOFFICIAL_COMMERCIAL,https://www.pff.com/college,licensed product,subscription/license,paid,source-specific,vendor-dependent,FBS emphasis,varies,varies,play/player/team,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,varies,REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DEFERRED,SRC-035;SRC-036;SRC-037,optional enrichment only,DEFERRED,,Explicitly deferred by project governance unless user reactivates. No implementation dependency.
SRC-007,U.S. Department of Education,EADA athletics data,resources/finance,federal mandatory disclosure,OFFICIAL_GOVERNMENT,https://ope.ed.gov/athletics/,bulk/custom download,none,free,source-specific,annual; historical downloads available,Title-IV coeducational institutions,varies,varies,institution/sport-year,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,survey year/report year,HISTORICAL_AGGREGATE_ONLY,REVIEW_REQUIRED,HIGH,varies,MEDIUM,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,PRIMARY,SRC-004;SRC-008,public/private program resource lane,INCLUDE,,
SRC-008,U.S. Department of Education / NCES,IPEDS,institution/resources,federal dataset,OFFICIAL_GOVERNMENT,https://nces.ed.gov/ipeds/use-the-data,bulk download/API tools,none,free,source-specific,1980-81 onward for many collections,postsecondary institutions,varies,varies,institution-year,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,academic/fiscal collection year,HISTORICAL_AGGREGATE_ONLY,REVIEW_REQUIRED,HIGH,varies,MEDIUM,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,SECONDARY,SRC-007,institution identity/context/resource covariates,INCLUDE,,
SRC-009,Texas A&M Athletics,A&M roster/schedule/stats/archive,TAMU specialization,official athletics,OFFICIAL,https://12thman.com/sports/football,HTML/PDF,none,free,source-specific,deep program archive; stats archive reaches 1950 on current site,Texas A&M,varies,varies,game/player/team/document,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,event/document date/publication where available,DIRECT_PREGAME_CANDIDATE_IF_DATED,REVIEW_REQUIRED,VERY_HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-005;SRC-011,highest-resolution A&M evidence,INCLUDE,,
SRC-010,National College Football Awards Association,award watch lists/calendar,preseason honors,official award association,OFFICIAL_ORGANIZATION,https://collegefootballawards.com/,HTML/news releases,none,free,source-specific,award-dependent historical/current,national,varies,varies,player-list/date,varies,HTML/JSON/CSV,variable,source-specific,canonical mapping required,announcement date,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,REVIEW_REQUIRED,HIGH,varies,MEDIUM,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,PRIMARY,SRC-012;conference honors,dated consensus prior candidate,INCLUDE,,
