adr_id,title,status,wave,post_wave_issue_ids,change_required_if_violated,source_ref_id,mapped
ADR-001,National foundation + A&M specialization,ACCEPTED,W01,POST-SUBTASK-087,true,SRCREF-01214,true
ADR-002,Scientific BAS headline definition,ACCEPTED,W01,POST-SUBTASK-096,true,SRCREF-01215,true
ADR-003,SportsDataverse + CFBD public foundation,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01216,true
ADR-004,PFF deferred and non-blocking,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01217,true
ADR-005,Point-in-time known-at architecture,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01218,true
ADR-006,Immutable raw + dated observations,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01219,true
ADR-007,Canonical IDs separate from source IDs,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01220,true
ADR-008,Empirical feature lifecycle,ACCEPTED,W01,POST-SUBTASK-123,true,SRCREF-01221,true
ADR-009,FBS/FCS/lower-division hierarchy,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01222,true
ADR-010,Separate national history from current-team evidence,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01223,true
ADR-011,Player/replacement availability architecture,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01224,true
ADR-012,Role-conditioned hierarchical coaching,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01225,true
ADR-013,Resources as conditional upstream capacity,ACCEPTED,W01,POST-SUBTASK-096,true,SRCREF-01226,true
ADR-014,Pure-football + market-augmented lanes,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01227,true
ADR-015,Canonical game as split unit,ACCEPTED,W01,POST-SUBTASK-105,true,SRCREF-01228,true
ADR-016,Joint-score coherence requirement,ACCEPTED,W01,POST-SUBTASK-096,true,SRCREF-01229,true
ADR-017,Governed autonomous research,ACCEPTED,W01,POST-SUBTASK-105,true,SRCREF-01230,true
ADR-018,Local-first compute,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01231,true
ADR-019,Five-phase framework,ACCEPTED,W01,POST-SUBTASK-087,true,SRCREF-01232,true
ADR-020,No large raw data in repo packs,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01233,true
ADR-021,Adaptive 25-wave plan,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01234,true
ADR-022,Numerical source-log chronology,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01235,true
ADR-023,Content-based reconnaissance identity,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01236,true
ADR-024,Authoritative recon integrity manifest,ACCEPTED,W01,POST-SUBTASK-105,true,SRCREF-01237,true
ADR-025,Deterministic services for deterministic work,ACCEPTED,W01,POST-SUBTASK-105,true,SRCREF-01238,true
ADR-026,No unverified pretrained-model dependency,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01239,true
ADR-027,Learned home-field effect,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01240,true
ADR-028,Learned transfer translation,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01241,true
ADR-029,Effective-dated rule-era registry,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01242,true
ADR-030,Immutable market/prediction snapshots,ACCEPTED,W01,POST-SUBTASK-078,true,SRCREF-01243,true
ADR-031,Minimal src-layout until Wave03,ACCEPTED,W02,POST-SUBTASK-141,true,SRCREF-01244,true
ADR-032,Python 3.12 preferred local baseline,ACCEPTED,W02,POST-SUBTASK-123,true,SRCREF-01245,true
ADR-033,Portable venv/pip baseline,ACCEPTED,W02,POST-SUBTASK-078,true,SRCREF-01246,true
ADR-034,Standard-library deterministic pack tooling,ACCEPTED,W02,POST-SUBTASK-141,true,SRCREF-01247,true
ADR-035,Machine-readable hydration allowlist,ACCEPTED,W02,POST-SUBTASK-141,true,SRCREF-01248,true
ADR-036,Minimal cross-platform CI now; full CI Wave23,ACCEPTED,W02,POST-SUBTASK-132,true,SRCREF-01249,true
ADR-037,Codex worktree contract without guessed external config,ACCEPTED,W02,POST-SUBTASK-141,true,SRCREF-01250,true
ADR-038,No Docker/database/orchestrator commitment in W02,ACCEPTED,W02,POST-SUBTASK-114,true,SRCREF-01251,true
ADR-039,Safe prior-wave verification before extraction,ACCEPTED,W02,POST-SUBTASK-132,true,SRCREF-01252,true
ADR-040,Offline-first modular monolith,ACCEPTED,W03,POST-SUBTASK-132,true,SRCREF-01253,true
ADR-041,Immutable snapshot serving,ACCEPTED,W03,POST-SUBTASK-123,true,SRCREF-01254,true
ADR-042,Parquet plus DuckDB early analytical stack,ACCEPTED,W03,POST-SUBTASK-141,true,SRCREF-01255,true
ADR-043,PostgreSQL deferred behind storage port,ACCEPTED,W03,POST-SUBTASK-141,true,SRCREF-01256,true
ADR-044,Provider ports and canonical boundary,ACCEPTED,W03,POST-SUBTASK-078,true,SRCREF-01257,true
ADR-045,PIT state as hard feature gateway,ACCEPTED,W03,POST-SUBTASK-060,true,SRCREF-01258,true
ADR-046,Explicit national-to-A&M specialization contract,ACCEPTED,W03,POST-SUBTASK-087,true,SRCREF-01259,true
ADR-047,Forecast assembly owns cross-target coherence,ACCEPTED,W03,POST-SUBTASK-096,true,SRCREF-01260,true
ADR-048,Research plane isolated from protected production,ACCEPTED,W03,POST-SUBTASK-123,true,SRCREF-01261,true
ADR-049,LLM assistive plane only,ACCEPTED,W03,POST-SUBTASK-105,true,SRCREF-01262,true
ADR-050,Read-serving boundary cannot query raw/model internals,ACCEPTED,W03,POST-SUBTASK-123,true,SRCREF-01263,true
ADR-051,Future live plane isolated,ACCEPTED,W03,POST-SUBTASK-159,true,SRCREF-01264,true
ADR-052,Stable semantic namespaces without empty implementation sprawl,ACCEPTED,W03,POST-SUBTASK-087,true,SRCREF-01265,true
ADR-053,No distributed infrastructure requirement for pregame v1,ACCEPTED,W03,POST-SUBTASK-123,true,SRCREF-01266,true
ADR-054,Machine-readable architecture registry,ACCEPTED,W03,POST-SUBTASK-141,true,SRCREF-01267,true
ADR-055,Separate requirement class/lifecycle/evidence status,ACCEPTED,W04,POST-SUBTASK-141,true,SRCREF-01268,true
ADR-056,Machine-readable acceptance registry and full coverage,ACCEPTED,W04,POST-SUBTASK-141,true,SRCREF-01269,true
ADR-057,No fabricated quantitative acceptance thresholds,ACCEPTED,W04,POST-SUBTASK-141,true,SRCREF-01270,true
ADR-058,Protected temporal/leakage controls fail closed and block release,ACCEPTED,W04,POST-SUBTASK-096,true,SRCREF-01271,true
ADR-059,Protected test seal and precommitted promotion criteria,ACCEPTED,W04,POST-SUBTASK-105,true,SRCREF-01272,true
ADR-060,Acceptance uses multiple evidence modes,ACCEPTED,W04,POST-SUBTASK-141,true,SRCREF-01273,true
ADR-061,Explicit trust boundary and fail-closed untrusted inputs,ACCEPTED,W04,POST-SUBTASK-132,true,SRCREF-01274,true
ADR-062,Forecast reproducibility is lineage-replay based,ACCEPTED,W04,POST-SUBTASK-078,true,SRCREF-01275,true
ADR-063,Performance budgets require target-hardware benchmark evidence,ACCEPTED,W04,POST-SUBTASK-141,true,SRCREF-01276,true
ADR-064,Bidirectional acceptance traceability across REQ/ADR/RISK,ACCEPTED,W04,POST-SUBTASK-141,true,SRCREF-01277,true
ADR-065,"Capability phases are organizational, waves remain execution authority",ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01278,true
ADR-066,Stable epic/task IDs and machine-readable WBS,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01279,true
ADR-067,DAG/gates instead of fabricated calendar schedule,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01280,true
ADR-068,Critical path means dependency-critical spine,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01281,true
ADR-069,Five complexity classes describe coupling and risk,ACCEPTED,W05,POST-SUBTASK-078,true,SRCREF-01282,true
ADR-070,Mandatory W06 implementation replan gate,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01283,true
ADR-071,Source-dependent tasks provisional until W06,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01284,true
ADR-072,Codex packets are bounded implementation slices,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01285,true
ADR-073,Serialize unfrozen shared-contract mutations,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01286,true
ADR-074,Bounded adaptive parallelism over fixed concurrency,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01287,true
ADR-075,Evidence gate required before DONE/integration,ACCEPTED,W05,POST-SUBTASK-141,true,SRCREF-01288,true
ADR-076,W05 backlog is revisable evidence-controlled plan,ACCEPTED,W05,POST-SUBTASK-078,true,SRCREF-01289,true
ADR-077,Official availability reports are primary where policy covers the game,ACCEPTED,W06,POST-SUBTASK-069,true,SRCREF-01290,true
ADR-078,Issued weather model runs replace observed-weather proxies for historical forecast state,ACCEPTED,W06,POST-SUBTASK-078,true,SRCREF-01291,true
ADR-079,Timestamped market providers are optional market-lane enrichment,ACCEPTED,W06,POST-SUBTASK-024,true,SRCREF-01292,true
ADR-080,Official lower-division statistics strengthen bounded priors,ACCEPTED,W06,POST-SUBTASK-078,true,SRCREF-01293,true
ADR-081,Rule era expands to effective-dated regulatory environment,ACCEPTED,W06,POST-SUBTASK-114,true,SRCREF-01294,true
ADR-082,Derived data requires explicit upstream provenance,ACCEPTED,W06,POST-SUBTASK-141,true,SRCREF-01295,true
ADR-083,Commercial advanced data remains adapter-isolated and nonblocking,ACCEPTED,W06,POST-SUBTASK-105,true,SRCREF-01296,true
ADR-084,Private-school resource proxies remain semantically separate,ACCEPTED,W06,POST-SUBTASK-033,true,SRCREF-01297,true
ADR-085,Current source research does not require distributed service architecture,ACCEPTED,W06,POST-SUBTASK-123,true,SRCREF-01298,true
ADR-086,Mutable official reports require publication/version observations,ACCEPTED,W06,POST-SUBTASK-114,true,SRCREF-01299,true
ADR-087,W06 replan clears but does not freeze future source choices forever,ACCEPTED,W06,POST-SUBTASK-141,true,SRCREF-01300,true
ADR-088,Public access is not redistribution permission,ACCEPTED,W06,POST-SUBTASK-024,true,SRCREF-01301,true
ADR-089,Opaque prefixed UUID surrogate is current canonical-ID representation default,ACCEPTED,W07,POST-SUBTASK-042,true,SRCREF-01302,true
ADR-090,Source mappings are first-class append-only decision records,ACCEPTED,W07,POST-SUBTASK-141,true,SRCREF-01303,true
ADR-091,Direct source IDs are mapping evidence only after contract validation,ACCEPTED,W07,POST-SUBTASK-105,true,SRCREF-01304,true
ADR-092,"Fuzzy/name matching is candidate generation, not canonical truth",ACCEPTED,W07,POST-SUBTASK-141,true,SRCREF-01305,true
ADR-093,"Human identity is separated from roles, teams and mutable attributes",ACCEPTED,W07,POST-SUBTASK-069,true,SRCREF-01306,true
ADR-094,Identity corrections use merge/split/supersession history,ACCEPTED,W07,POST-SUBTASK-042,true,SRCREF-01307,true
ADR-095,"Game identity represents the underlying contest, not current schedule fields",ACCEPTED,W07,POST-SUBTASK-159,true,SRCREF-01308,true
ADR-096,Mutable source evidence uses layered identity,ACCEPTED,W07,POST-SUBTASK-114,true,SRCREF-01309,true
ADR-097,PostgreSQL remains deferred for canonical identity workflow,ACCEPTED,W07,POST-SUBTASK-042,true,SRCREF-01310,true
ADR-098,Review queue is a derived view over immutable candidate/decision events,ACCEPTED,W07,POST-SUBTASK-141,true,SRCREF-01311,true
ADR-099,No graph database is required for canonical relationships,ACCEPTED,W07,POST-SUBTASK-042,true,SRCREF-01312,true
ADR-100,W07 identity contracts are frozen for W08 but implementation benchmark remains W19,ACCEPTED,W07,POST-SUBTASK-042,true,SRCREF-01313,true
ADR-101,Bitemporal knowledge and validity axes,ACCEPTED,W08,POST-SUBTASK-114,true,SRCREF-01314,true
ADR-102,first_known evidence policy,ACCEPTED,W08,POST-SUBTASK-087,true,SRCREF-01315,true
ADR-103,prediction_eligible_at is derived metadata,ACCEPTED,W08,POST-SUBTASK-141,true,SRCREF-01316,true
ADR-104,Deterministic fail-closed as-of selector,ACCEPTED,W08,POST-SUBTASK-051,true,SRCREF-01317,true
ADR-105,Revision replay uses as-known version,ACCEPTED,W08,POST-SUBTASK-114,true,SRCREF-01318,true
ADR-106,Immutable cutoff object,ACCEPTED,W08,POST-SUBTASK-078,true,SRCREF-01319,true
ADR-107,Issued weather run contract,ACCEPTED,W08,POST-SUBTASK-078,true,SRCREF-01320,true
ADR-108,Availability policy/version contract,ACCEPTED,W08,POST-SUBTASK-069,true,SRCREF-01321,true
ADR-109,Market labels are descriptive not temporal authority,ACCEPTED,W08,POST-SUBTASK-024,true,SRCREF-01322,true
ADR-110,Regulatory/resource dual-time contract,ACCEPTED,W08,POST-SUBTASK-114,true,SRCREF-01323,true
ADR-111,Retrospective evidence fail-closed,ACCEPTED,W08,POST-SUBTASK-087,true,SRCREF-01324,true
ADR-112,Completed-game chronology for historical aggregates,ACCEPTED,W08,POST-SUBTASK-060,true,SRCREF-01325,true
ADR-113,PIT gateway becomes protected feature boundary,ACCEPTED,W08,POST-SUBTASK-060,true,SRCREF-01326,true
ADR-114,Synthetic PIT PASS is not production data proof,ACCEPTED,W08,POST-SUBTASK-123,true,SRCREF-01327,true
ADR-115,Raw-field registry is metadata not production feature lifecycle,ACCEPTED,W09,POST-SUBTASK-123,true,SRCREF-01328,true
ADR-116,Stable source-scoped raw-field IDs,ACCEPTED,W09,POST-SUBTASK-042,true,SRCREF-01329,true
ADR-117,Recon temporal classification has precedence over scanner heuristics,ACCEPTED,W09,POST-SUBTASK-051,true,SRCREF-01330,true
ADR-118,Unmaterialized W06 endpoint schemas remain pending,ACCEPTED,W09,POST-SUBTASK-141,true,SRCREF-01331,true
ADR-119,Sample missingness remains non-population evidence,ACCEPTED,W09,POST-SUBTASK-033,true,SRCREF-01332,true
ADR-120,Exact-name overlap creates review clusters only,ACCEPTED,W09,POST-SUBTASK-141,true,SRCREF-01333,true
ADR-121,Join paths require canonical identity semantics,ACCEPTED,W09,POST-SUBTASK-042,true,SRCREF-01334,true
ADR-122,Schema scanner separates documented and observed type,ACCEPTED,W09,POST-SUBTASK-141,true,SRCREF-01335,true
ADR-123,Standard-library scanner core with optional Parquet plugin,ACCEPTED,W09,POST-SUBTASK-141,true,SRCREF-01336,true
ADR-124,Nested JSON uses deterministic dotted paths,ACCEPTED,W09,POST-SUBTASK-141,true,SRCREF-01337,true
ADR-125,W09 W10-candidate handoff remains behind W08 PIT gateway,ACCEPTED,W09,POST-SUBTASK-051,true,SRCREF-01338,true
ADR-126,W09 feature-registry gate frozen for W10,ACCEPTED,W09,POST-SUBTASK-105,true,SRCREF-01339,true
ADR-127,Target-specific six-state feature lifecycle,ACCEPTED,W10,POST-SUBTASK-060,true,SRCREF-01340,true
ADR-128,No universal rolling-window default,ACCEPTED,W10,POST-SUBTASK-141,true,SRCREF-01341,true
ADR-129,Strict-prior transform semantics,ACCEPTED,W10,POST-SUBTASK-051,true,SRCREF-01342,true
ADR-130,Multi-method screening instead of single importance ranking,ACCEPTED,W10,POST-SUBTASK-078,true,SRCREF-01343,true
ADR-131,Univariate association is exploratory,ACCEPTED,W10,POST-SUBTASK-123,true,SRCREF-01344,true
ADR-132,Family ablation and temporal stability are promotion evidence,ACCEPTED,W10,POST-SUBTASK-123,true,SRCREF-01345,true
ADR-133,Market candidate lane remains isolated,ACCEPTED,W10,POST-SUBTASK-078,true,SRCREF-01346,true
