artifact_path_or_name,producer_issue_id,issue_type,required_for_completion,expected_maturity,downstream_issue_ids,evidence_state
SOURCE_RESEARCH_LOG.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
W06 source research artifacts,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATASET_ENDPOINT_COLUMN_INVENTORY.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATA_ACQUISITION_PLAN.md,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATA_DOMAIN_COVERAGE_MATRIX.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATA_MISSINGNESS_STRATEGY.md,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATA_RESEARCH_METHOD.md,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATA_SOURCE_RISK_REGISTER.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/DATA_UNIVERSE_MASTER.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/SOURCE_PRIORITY_DECISIONS.md,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/SOURCE_REDUNDANCY_MAP.csv,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/data_research/w06/WAVE_06_ARCHITECTURE_IMPACT.md,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
governance/WAVE_PLAN_REVISIONS.md,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
revalidated implementation WBS,EPIC-001,Epic,true,CONTRACT_DEFINED,,VERIFIED
ADR-097,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
W07 canonical identity contract baseline,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
W08 handoff,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
acceptance mappings,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
configs/entity_registry.json,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/14_CANONICAL_ENTITY_ARCHITECTURE.md,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/15_SOURCE_MAPPING_AND_EVIDENCE_IDENTITY.md,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/16_ENTITY_RESOLUTION_AND_REVIEW.md,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
docs/17_ENTITY_STORAGE_EVALUATION.md,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
entity validator,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
governance/CANONICAL_ENTITY_CATALOG.csv,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
governance/CANONICAL_RELATIONSHIP_CATALOG.csv,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
governance/ENTITY_RESOLUTION_STATES.csv,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
governance/ENTITY_STORAGE_DECISION_MATRIX.csv,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
governance/SOURCE_MAPPING_METHODS.csv,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
schemas/canonical/entities.json,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
schemas/canonical/evidence_identity.json,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
schemas/canonical/resolution_decision.json,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
schemas/canonical/source_mapping.json,EPIC-002,Epic,true,CONTRACT_DEFINED,,VERIFIED
PIT observation schema and temporal semantics,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
PIT test fixtures,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
accepted PIT interface,EPIC-003,Epic,true,CONTRACT_DEFINED,,VERIFIED
