schema_version,table_id,source_id,season,domain,format,schema_identity,capture_ids,field,observed_type_signature,observed_type_family,cross_season_type_families,schema_drift_class,row_count,present_count,missing_count,null_count,non_null_count,missing_rate,null_rate,distinct_state,distinct_count,distinct_lower_bound,uniqueness,identifier_candidate,timestamp_observed,disposition,disposition_reason,canonical_contract,canonical_action,canonical_population_eligibility,canonical_entity_join_eligibility,raw_storage_disposition,event_semantics,pregame_pit_eligibility,target_game_outcome_exclusion,model_feature_eligibility,quality_failure_scope,review_required,profile_canonical_sha256
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,A_score_diff,int64,INTEGER,INTEGER,STABLE_TYPE_FAMILY,83210,83210,0,463,82747,0.000000000000,0.005564235068,EXACT,14,14,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_WITH_EXPLICIT_NULL_STATE_PRESERVED,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:A_score_diff,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA,double,NUMBER,NUMBER,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,76961,76961,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_explosive,bool,BOOLEAN,BOOLEAN,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,2,2,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_explosive,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_explosive_pass,bool,BOOLEAN,BOOLEAN,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,2,2,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_explosive_pass,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_explosive_rush,bool,BOOLEAN,BOOLEAN,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,2,2,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_explosive_rush,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_fg,double,NUMBER,NUMBER,STABLE_TYPE_FAMILY,83210,83210,0,81762,1448,0.000000000000,0.982598245403,EXACT,1448,1448,UNIQUE_NON_NULL,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_WITH_EXPLICIT_NULL_STATE_PRESERVED,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_fg,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_kickoff,double,NUMBER,NUMBER,STABLE_TYPE_FAMILY,83210,83210,0,79359,3851,0.000000000000,0.953719504867,EXACT,3751,3751,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_WITH_EXPLICIT_NULL_STATE_PRESERVED,TEMPORAL_EVIDENCE,PARSE_EXPLICITLY_AND_RETAIN_SOURCE_SEMANTICS; DO_NOT_INTERCHANGE_OBSERVED_PUBLISHED_EFFECTIVE_RETRIEVED_OR_PREDICTION_ELIGIBLE_TIME,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_kickoff,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_middle_8_success,bool,BOOLEAN,BOOLEAN,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,2,2,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_middle_8_success,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_middle_8_success_pass,bool,BOOLEAN,BOOLEAN,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,2,2,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_middle_8_success_pass,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
1.0.0,SRC-001:2004:plays_structured_gamebook,SRC-001,2004,plays_structured_gamebook,PARQUET,261c69e816b8c059581a4eac54dccc928efe3f20a0163128ce549a09ad067e7f,asset_499469504_4bd5890bb815cdee,EPA_middle_8_success_rush,bool,BOOLEAN,BOOLEAN,STABLE_TYPE_FAMILY,83210,83210,0,0,83210,0.000000000000,0.000000000000,EXACT,2,2,NOT_UNIQUE,false,false,ACCEPTED,SCALAR_TYPE_ACCEPTED_FOR_VERSIONED_NORMALIZATION_INPUT,SOURCE_OBSERVATION,RETAIN_TYPED_SOURCE_OBSERVATION; DOMAIN_NORMALIZATION_AND_KNOWN_AT_VALIDATION_REQUIRED_BEFORE_CANONICAL_OR_FEATURE_USE,CONDITIONAL_PENDING_DOMAIN_NORMALIZATION_ENTITY_MAPPING_EVENT_KNOWN_AT_AND_QUALITY_GATES,NOT_AN_ENTITY_JOIN,PRESERVE_IMMUTABLE_RAW,PRIOR_EVENT_POSTGAME_OR_WITHIN_GAME_OBSERVATION,REJECTED_PENDING_EVENT_KNOWN_AT_TARGET_EXCLUSION_AND_CHRONOLOGICAL_REPLAY,REQUIRED_EXCLUDE_TARGET_GAME_AND_SAME_GAME_POSTGAME_FIELDS,NOT_ELIGIBLE_FROM_SCHEMA_RECONCILIATION_ALONE,FIELD_ONLY:SRC-001:2004:plays_structured_gamebook:EPA_middle_8_success_rush,NO,00d7d7495d4b5fef9cf16030995876caefb98d9bfbadaad8850171964fc3aae9
