path,size_bytes,sha256,top_level_area,purpose_class
configs/experiment_artifact_policy.json,281,9e56bf71e65541df1701c46337f7367f9b792064afc72ea8834ee29ff07ee861,configs,W18_FULL_REBUILD
configs/experiment_research_registry.json,5374,f2ed563906cd8914618bf4073bd2e95e2ea3635e16e7bbb664a14c2d37f270e6,configs,W18_FULL_REBUILD
configs/experiment_store_policy.json,521,eaf37aad659ebf07e84b92b858adf117eefa22bc963920a77f9fbf12593c35da,configs,W18_FULL_REBUILD
configs/hpo_registry.json,476,9c0f7862b5ca901687c6f7c0ffdd775996d90b5ce41f4a5782d6ae2aa1f25f6e,configs,W18_FULL_REBUILD
configs/judging_rule_seal.json,3936,8e1cb61d850babc5e80bd156aa79f6bbd5575d461df0d83ec6f6eed2a71fe758,configs,W18_FULL_REBUILD
configs/research_execution_registry.json,476,55011de6949802cf563c7a79f55420157c8ca641edf69f40fcbf2085b3be7938,configs,W18_FULL_REBUILD
configs/research_resource_policy.json,383,acc7721bac101384e457ab89a774843a3c067a34c047e06093187ca4b6d2f279,configs,W18_FULL_REBUILD
configs/result_comparison_policy.json,486,57c253b7b41ed00b61fa33003c7b27a1d1ac2b3fedf658ef91d867f314cba6fc,configs,W18_FULL_REBUILD
configs/tournament_registry.json,631,be1f301f4ad7f1c29f55c05ed5029babf58d8199b98580a2d235fe859066a393,configs,W18_FULL_REBUILD
docs/100_W18_FULL_IMPLEMENTATION_INVENTORY.md,1802,dd278da52d7c11af54b4fb009d63416271c0afdd4bf317b46fb0164e39d0bc4b,docs,W18_FULL_REBUILD
docs/61_EXPERIMENTATION_AND_AUTONOMOUS_RESEARCH_ARCHITECTURE.md,4600,62f3975a83ccb504bb5d4c1f52a6de15214b6adda1ab80faf0773aabb9ad7021,docs,W18_FULL_REBUILD
docs/62_EXPERIMENT_IDENTITY_LINEAGE_AND_REPLAY.md,1899,03e2b05253c77cb7a2d0b4d00dfd13b91fde06d98ed9239977637b05fd7db53e,docs,W18_FULL_REBUILD
docs/63_AUTONOMOUS_RESEARCH_GOVERNANCE.md,1802,21791c54018967552a989448e554d510a488ae7391d7e9a2fa457e37b6dc1552,docs,W18_FULL_REBUILD
docs/64_TRACKING_HPO_AND_WORKTREE_EXECUTION.md,1669,75e9514d29fb9deb6b031c6621bcc355042ba1770d95145b13f08187720d562d,docs,W18_FULL_REBUILD
docs/65_FEATURE_TOURNAMENT.md,1594,95493a98ad24f20b378acf349611a65fae2b4837b80adb7bb8cf4d1ccddbd2a3,docs,W18_FULL_REBUILD
docs/66_MODEL_TOURNAMENT.md,1796,55b40988af0c4a5a29ed42530e041a4fae4b3a350f81b094903b81a6ba875bd9,docs,W18_FULL_REBUILD
docs/67_HYPOTHESIS_AND_EXPERIMENT_QUEUE.md,1577,373db208c1eb63842d8167ac9b13ee29273ca6c48e80edc1195de4286a71d0c3,docs,W18_FULL_REBUILD
docs/68_REPLAY_RESULT_COMPARISON_AND_ADOPTION.md,1363,04e3811993509e96a1b663e76c03b59638da00989551065ed4711b1de3c23c2f,docs,W18_FULL_REBUILD
docs/69_WORKTREE_CONCURRENCY_AND_RESOURCE_GOVERNANCE.md,1148,605e38771639fd63587755fa6137fc02eb875dc9b7c1ad8a847fbc040f37bcad,docs,W18_FULL_REBUILD
docs/70_MLFLOW_TRACKING_ADAPTER.md,1192,917ad30335a750507724e181b4d0a371d2e5f1acc83233998f0f91c7fad8c928,docs,W18_FULL_REBUILD
docs/71_OPTUNA_HPO_ADAPTER.md,1338,174ead29f9cb535fbd23e6d466c11412ba7f923456511050799cb23a8bb69dd3,docs,W18_FULL_REBUILD
docs/72_ADVANCED_CHALLENGER_ADMISSION.md,1046,a85c3fec0664327320cd9e64442599c84767dc36ad90ed6a40137cd2bf4986ef,docs,W18_FULL_REBUILD
docs/73_NEGATIVE_RESULTS_FAILURES_AND_RETRY_POLICY.md,1047,1e29fdc661af773ff183444494e68970732378110b52973c138423478df0a503,docs,W18_FULL_REBUILD
docs/74_W18_IMPLEMENTATION_AND_VALIDATION_INVENTORY.md,1253,53f0b291ca1568c3b00a5e1717aab0a46c42153e23f968b462b898582aff6f6c,docs,W18_FULL_REBUILD
docs/75_W18_TO_W19_HANDOFF.md,1624,04a0694ad0e95380c6d6369071ecf6946876cb6d2ec3dcb73d018dc7d3a70df2,docs,W18_FULL_REBUILD
docs/76_CANONICAL_EXPERIMENT_SPEC.md,3737,ab1bdceff17caf322819c445103d9b40164c7ecaadf48f6ea01c104cc76ff973,docs,W18_FULL_REBUILD
docs/77_LOCAL_EXPERIMENT_STORE.md,2383,f5c2a9a80918210a5702e5b55799134bdfeb142dfc06140bd97b78738c270c00,docs,W18_FULL_REBUILD
docs/78_RESEARCH_QUEUE_SCHEDULER.md,2445,776b5236dcc426f245e88d203be3f67f4d3ad43c300d6133075066e5c3dc50e4,docs,W18_FULL_REBUILD
docs/79_FEATURE_TOURNAMENT_PROTOCOL.md,3287,afa7d9bec5c3a06bb671fb1fd74fd53cbdc2405310a59066121922bbad66aaa5,docs,W18_FULL_REBUILD
docs/80_MODEL_TOURNAMENT_PROTOCOL.md,2744,fccbbd26f971842cc8e9eb3ee0b054605adc9b20a2d10d73da02d9e42aacc353,docs,W18_FULL_REBUILD
docs/81_HPO_STUDY_GOVERNANCE.md,2146,3f48c9f9c87cbbacd0b1d60b1c0348cce6ff4b5dd8a1f66933a1089172409bfd,docs,W18_FULL_REBUILD
