scenario_id,name,domain,first_known_at,prediction_cutoff,expected_eligible,expected_reason
LEAK-001,later_availability_revision,AVAILABILITY_REPORT,2025-10-11T16:00:00Z,2025-10-11T15:30:00Z,FALSE,KNOWN_AFTER_CUTOFF
LEAK-002,eligible_prior_availability_report,AVAILABILITY_REPORT,2025-10-11T14:00:00Z,2025-10-11T15:30:00Z,TRUE,ELIGIBLE
LEAK-003,closing_line_after_wednesday,MARKET,2025-10-11T15:55:00Z,2025-10-08T17:00:00Z,FALSE,KNOWN_AFTER_CUTOFF
LEAK-004,market_snapshot_before_cutoff,MARKET,2025-10-08T16:55:00Z,2025-10-08T17:00:00Z,TRUE,ELIGIBLE
LEAK-005,observed_weather_used_for_monday,WEATHER_OBSERVED,2025-10-11T19:00:00Z,2025-10-06T17:00:00Z,FALSE,DOMAIN_POLICY_BANNED
LEAK-006,issued_weather_run_before_cutoff,WEATHER_FORECAST,2025-10-06T15:15:00Z,2025-10-06T17:00:00Z,TRUE,ELIGIBLE
LEAK-007,future_effective_rule_known_for_future_target,REGULATORY_ENVIRONMENT,2026-06-01T12:00:00Z,2026-08-01T12:00:00Z,TRUE,ELIGIBLE
LEAK-008,rule_not_effective_for_target,REGULATORY_ENVIRONMENT,2026-06-01T12:00:00Z,2026-08-01T12:00:00Z,FALSE,TARGET_OUTSIDE_VALIDITY
LEAK-009,resource_period_old_but_report_published_late,RESOURCE_REPORT,2025-12-01T12:00:00Z,2025-10-01T12:00:00Z,FALSE,KNOWN_AFTER_CUTOFF
LEAK-010,same_game_postgame_stat,HISTORICAL_GAME_OUTPUT,2025-10-11T22:30:00Z,2025-10-11T15:30:00Z,FALSE,KNOWN_AFTER_CUTOFF
LEAK-011,prior_game_output_before_cutoff,HISTORICAL_GAME_OUTPUT,2025-10-04T22:30:00Z,2025-10-11T15:30:00Z,TRUE,ELIGIBLE
LEAK-012,eventual_nfl_draft_outcome,DRAFT_POSTSEASON_OUTCOME,2026-04-25T12:00:00Z,2025-10-11T15:30:00Z,FALSE,KNOWN_AFTER_CUTOFF
LEAK-013,retrospective_bio_without_corroboration,RETROSPECTIVE_DOCUMENT,2026-01-01T12:00:00Z,2025-10-11T15:30:00Z,FALSE,RETROSPECTIVE_UNCORROBORATED
LEAK-014,future_roster_state,ROSTER_STAFF_DEPTH,2025-10-12T12:00:00Z,2025-10-11T15:30:00Z,FALSE,KNOWN_AFTER_CUTOFF
LEAK-015,old_revision_selected_before_correction,GENERIC_MUTABLE,2025-10-10T12:00:00Z,2025-10-11T15:30:00Z,TRUE,ELIGIBLE
LEAK-016,correction_published_after_snapshot,GENERIC_MUTABLE,2025-10-12T12:00:00Z,2025-10-11T15:30:00Z,FALSE,KNOWN_AFTER_CUTOFF
