domain,required_temporal_evidence,selection_policy,eligibility_rule,missing_or_ambiguous_behavior,notes
GENERIC_MUTABLE,published/retrieved/first-known + valid interval,latest eligible non-superseded version,first_known_at<=cutoff AND target in validity interval,Unknown timing => REVIEW_REQUIRED/INELIGIBLE,Do not overwrite earlier versions.
MARKET,provider/market/side/source_reported/retrieved/first-known,latest eligible observation per provider+market+side,knowledge cutoff only; snapshot label such as closing is descriptive,Future/late line ineligible,Pure-football lane excludes market entirely.
WEATHER_FORECAST,model/init/available/valid/retrieved,latest eligible run satisfying target-valid policy,model_available_at/first_known_at<=cutoff AND forecast valid for target,Observed/reanalysis cannot substitute for earlier issued forecast,Keep model/run/lead lineage.
WEATHER_OBSERVED,observed/retrieved,postgame truth or explicitly live-at-time use only,not eligible for earlier pregame forecast,PRE_GAME use => BANNED,May validate forecast after game.
AVAILABILITY_REPORT,policy/version/report sequence/published/first-known,latest eligible official report version within applicable policy/game scope,report known by cutoff and policy applies,"No report/noncoverage => UNKNOWN, never healthy",Later revision does not rewrite earlier snapshot.
ROSTER_STAFF_DEPTH,published/first-known + effective interval,latest eligible state/version,known by cutoff AND target in effective interval,Retrospective/current bio without historic version => REVIEW/BANNED,Identity remains W07 canonical entity.
REGULATORY_ENVIRONMENT,published/first-known + effective interval,rule version applicable to target game,rule publicly known by cutoff AND target game lies effective interval,Unknown publication semantics use conservative evidence policy,Known future-effective rule may be valid for future target.
RESOURCE_REPORT,reporting period + published/first-known,latest eligible report available by cutoff,first_known_at<=cutoff; reporting period does not imply knowability,Unknown publish date => conservative lag/review,Never align fiscal year to season by label alone.
HISTORICAL_GAME_OUTPUT,game_end + source first-known,completed prior-game records only,game_end_at<=cutoff AND source knowledge<=cutoff,Same/future game output => BANNED,Can feed later-game aggregates after completion.
RETROSPECTIVE_DOCUMENT,retrieved/published if defensible + retrospective flag,corroborated historic version only,requires dated corroboration proving the fact/version was knowable then,uncorroborated retrospective content => INELIGIBLE,Official does not equal historically knowable.
DRAFT_POSTSEASON_OUTCOME,event/knowledge,prior completed outcomes only,only completed outcomes that occurred before the feature cutoff may be used,eventual future outcome for current historical roster => BANNED,May be retrospective target for development models.
