hypothesis_id,hypothesis,domain,planned_test_wave,status,promotion_rule
HYP-001,Referee/crew tendencies add stable signal,officiating,W13/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-002,Program resources add value beyond talent/roster/coaching,resources,W13/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-003,Preseason honors add incremental early-season value,players,W12/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-004,Lagged draft-development residuals add value,players,W12/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-005,PyTorch tabular challenger beats boosted trees,models,W16-W18,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-006,Sequence/temporal models beat strong tabular baselines,models,W18/Phase5,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-007,Graph representations improve coach/player/transfer modeling,models,W18/Phase5,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-008,Kyle Field has a persistent context-adjusted residual home effect,TAMU,W13-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-009,A&M has statistically significant excess underperformance after controls,BAS,W15-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-010,A&M excess underperformance persists across current regime,BAS,W15-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-011,Travel/body-clock burden improves forecasts,context,W13/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-012,Look-ahead/sandwich schedule context adds stable signal,context,W13/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-013,Clock-management residuals are stable enough to forecast,coaching,W13/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-014,Halftime-adjustment tendencies are stable enough to forecast,coaching,W13/W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-015,Style-similarity features improve matchup prediction,features,W10-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-016,Unit chemistry/combination continuity adds value beyond individual values,players,W12-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-017,Explicit rule-era features improve over simple season effects,context,W13-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-018,Market-augmented model improves calibration without obscuring pure-football skill,models,W16-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-019,Multi-task A&M specialization beats multiple separate adapters,TAMU,W14-W18,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-020,Expected-possession modeling materially improves score distribution,mechanics,W13-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-021,Field-position/hidden-yards subsystem adds stable value,mechanics,W13-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-022,Separate special-teams submodels beat a composite rank,mechanics,W13-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-023,OOD score predicts larger forecast error/undercoverage,uncertainty,W16-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-024,Model disagreement improves uncertainty calibration,uncertainty,W16-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-025,Transfer translation is position-specific and continuous-strength based,players,W12-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-026,Resource-efficiency residual helps BAS after controlling inputs,BAS/resources,W13-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-027,Preseason/early/mature-season mixture improves early-season calibration,models,W11-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-028,A&M-specific calibration outperforms national calibration alone,TAMU,W14-W17,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-029,Historical analog retrieval adds useful explanation or predictive support,explainability,W14-W22,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-030,Live BAS Collapse can be defined reproducibly from chronological replay,BAS/live,Phase5,PENDING,Requires PIT-safe walk-forward evidence/ablation/stability; never promoted by intuition alone
HYP-031,Player-specific value/availability/replacement representation improves forecasts beyond coarse injury counts,players/availability,W17-W19,PENDING,"Requires PIT-safe walk-forward evidence, ablation versus coarse/no-injury baselines and calibration; never promoted by intuition alone"
HYP-032,Position-aware same-player transfer translation improves destination player estimates beyond unadjusted production/prior-only baselines,players/transfers,W17-W19,PENDING,Requires chronological same-player transfer evaluation with uncertainty and subgroup stability; no fixed conference penalty
HYP-033,Preseason honors and lagged draft-development signals add stable value beyond recruiting/prior production,players/consensus,W17,PENDING,Requires target-specific ablation and temporal stability; never promoted by reputation alone
HYP-034,Role-conditioned coach residuals add stable predictive value beyond player/team context.,coaching,W17-W19,PENDING,Protected chronological improvement after confound controls; nonblocking until promotion.
HYP-035,"A learned program/venue home residual adds value beyond national home effect, team strength and travel.",context,W17-W19,PENDING,Walk-forward calibration/score evidence; nonblocking until promotion.
HYP-036,Resource lanes add stable incremental value beyond roster/talent/coaching.,resources,W17-W19,PENDING,Ablation by coverage lane; nonblocking until promotion.
HYP-037,Fourth-down/clock/halftime decision-quality candidates add stable coach information.,coaching,W17,PENDING,Controlled chronological evidence; nonblocking until promotion.
HYP-038,A score-state or leverage policy improves signal versus an all-plays baseline.,mechanics,W17,PENDING,Protected policy comparison; nonblocking until promotion.
HYP-039,Continuous style similarity improves opponent adjustment/matchup prediction.,matchup,W17-W20,PENDING,Subgroup/stability/ablation evidence; nonblocking until promotion.
HYP-040,Pregame-known officiating crew tendencies add value after team/opponent/style controls.,officiating,W17-W24,PENDING,Only if assignment coverage and controlled evidence support it; nonblocking until promotion.
HYP-041,Higher-resolution A&M state improves protected A&M forecast performance beyond national state alone.,tamu_specialization,W16-W17,PENDING,Promote only with protected incremental value and stability.
HYP-042,Residual-adapter specialization improves A&M forecasts relative to no-adjustment national baseline.,tamu_specialization,W16-W17,PENDING,Protected comparison against TAMU-SP-00 and simple alternatives.
HYP-043,Hierarchical/multi-task specialization outperforms simpler residual/partial-pooling alternatives.,tamu_specialization,W16-W17,PENDING,Complexity must earn protected value and stability.
