local_id,import_id,jira_key,jira_issue_id,verified
EPIC-001,100001,,,false
EPIC-002,100002,,,false
EPIC-003,100003,,,false
EPIC-004,100004,,,false
EPIC-005,100005,,,false
EPIC-006,100006,,,false
EPIC-007,100007,,,false
EPIC-008,100008,,,false
EPIC-009,100009,,,false
EPIC-010,100010,,,false
EPIC-011,100011,,,false
EPIC-012,100012,,,false
EPIC-013,100013,,,false
EPIC-014,100014,,,false
EPIC-015,100015,,,false
EPIC-016,100016,,,false
EPIC-017,100017,,,false
EPIC-018,100018,,,false
EPIC-019,100019,,,false
EPIC-020,100020,,,false
EPIC-021,100021,,,false
EPIC-022,100022,,,false
EPIC-023,100023,,,false
EPIC-024,100024,,,false
EPIC-025,100025,,,false
EPIC-026,100026,,,false
EPIC-027,100027,,,false
EPIC-028,100028,,,false
EPIC-029,100029,,,false
EPIC-030,100030,,,false
EPIC-031,100031,,,false
EPIC-032,100032,,,false
EPIC-033,100033,,,false
POST-EPIC-001,100034,,,false
POST-EPIC-002,100035,,,false
POST-EPIC-003,100036,,,false
POST-EPIC-004,100037,,,false
POST-EPIC-005,100038,,,false
POST-EPIC-006,100039,,,false
POST-EPIC-007,100040,,,false
POST-EPIC-008,100041,,,false
POST-EPIC-009,100042,,,false
POST-EPIC-010,100043,,,false
POST-EPIC-011,100044,,,false
POST-EPIC-012,100045,,,false
POST-EPIC-013,100046,,,false
POST-EPIC-014,100047,,,false
POST-EPIC-015,100048,,,false
POST-EPIC-016,100049,,,false
POST-EPIC-017,100050,,,false
POST-STORY-001,100051,,,false
POST-STORY-002,100052,,,false
POST-STORY-003,100053,,,false
POST-STORY-004,100054,,,false
POST-STORY-005,100055,,,false
POST-STORY-006,100056,,,false
POST-STORY-007,100057,,,false
POST-STORY-008,100058,,,false
POST-STORY-009,100059,,,false
POST-STORY-010,100060,,,false
POST-STORY-011,100061,,,false
POST-STORY-012,100062,,,false
POST-STORY-013,100063,,,false
POST-STORY-014,100064,,,false
POST-STORY-015,100065,,,false
POST-STORY-016,100066,,,false
POST-STORY-017,100067,,,false
POST-STORY-018,100068,,,false
POST-STORY-019,100069,,,false
POST-STORY-020,100070,,,false
POST-STORY-021,100071,,,false
POST-STORY-022,100072,,,false
POST-STORY-023,100073,,,false
POST-STORY-024,100074,,,false
POST-STORY-025,100075,,,false
POST-STORY-026,100076,,,false
POST-STORY-027,100077,,,false
POST-STORY-028,100078,,,false
POST-STORY-029,100079,,,false
POST-STORY-030,100080,,,false
POST-STORY-031,100081,,,false
POST-STORY-032,100082,,,false
POST-STORY-033,100083,,,false
POST-STORY-034,100084,,,false
POST-STORY-035,100085,,,false
POST-STORY-036,100086,,,false
POST-STORY-037,100087,,,false
POST-STORY-038,100088,,,false
POST-STORY-039,100089,,,false
POST-STORY-040,100090,,,false
POST-STORY-041,100091,,,false
POST-STORY-042,100092,,,false
POST-STORY-043,100093,,,false
POST-STORY-044,100094,,,false
POST-STORY-045,100095,,,false
POST-STORY-046,100096,,,false
POST-STORY-047,100097,,,false
POST-STORY-048,100098,,,false
POST-STORY-049,100099,,,false
POST-STORY-050,100100,,,false
POST-STORY-051,100101,,,false
POST-STORY-052,100102,,,false
POST-STORY-053,100103,,,false
TASK-001,100104,,,false
TASK-002,100105,,,false
TASK-003,100106,,,false
TASK-004,100107,,,false
TASK-005,100108,,,false
TASK-006,100109,,,false
TASK-007,100110,,,false
TASK-008,100111,,,false
TASK-009,100112,,,false
TASK-010,100113,,,false
TASK-011,100114,,,false
TASK-012,100115,,,false
TASK-013,100116,,,false
TASK-014,100117,,,false
TASK-015,100118,,,false
TASK-016,100119,,,false
TASK-017,100120,,,false
TASK-018,100121,,,false
TASK-019,100122,,,false
TASK-020,100123,,,false
TASK-021,100124,,,false
TASK-022,100125,,,false
TASK-023,100126,,,false
TASK-024,100127,,,false
TASK-025,100128,,,false
TASK-026,100129,,,false
TASK-027,100130,,,false
TASK-028,100131,,,false
TASK-029,100132,,,false
TASK-030,100133,,,false
TASK-031,100134,,,false
TASK-032,100135,,,false
TASK-033,100136,,,false
TASK-034,100137,,,false
TASK-035,100138,,,false
TASK-036,100139,,,false
TASK-037,100140,,,false
TASK-038,100141,,,false
TASK-039,100142,,,false
TASK-040,100143,,,false
TASK-041,100144,,,false
TASK-042,100145,,,false
TASK-043,100146,,,false
TASK-044,100147,,,false
TASK-045,100148,,,false
TASK-046,100149,,,false
TASK-047,100150,,,false
TASK-048,100151,,,false
TASK-049,100152,,,false
TASK-050,100153,,,false
TASK-051,100154,,,false
TASK-052,100155,,,false
TASK-053,100156,,,false
TASK-054,100157,,,false
TASK-055,100158,,,false
TASK-056,100159,,,false
TASK-057,100160,,,false
TASK-058,100161,,,false
TASK-059,100162,,,false
TASK-060,100163,,,false
TASK-061,100164,,,false
TASK-062,100165,,,false
TASK-063,100166,,,false
TASK-064,100167,,,false
TASK-065,100168,,,false
TASK-066,100169,,,false
TASK-067,100170,,,false
TASK-068,100171,,,false
TASK-069,100172,,,false
TASK-070,100173,,,false
TASK-071,100174,,,false
TASK-072,100175,,,false
TASK-073,100176,,,false
TASK-074,100177,,,false
TASK-075,100178,,,false
TASK-076,100179,,,false
TASK-077,100180,,,false
TASK-078,100181,,,false
TASK-079,100182,,,false
TASK-080,100183,,,false
TASK-081,100184,,,false
TASK-082,100185,,,false
TASK-083,100186,,,false
TASK-084,100187,,,false
TASK-085,100188,,,false
TASK-086,100189,,,false
TASK-087,100190,,,false
TASK-088,100191,,,false
TASK-089,100192,,,false
TASK-090,100193,,,false
TASK-091,100194,,,false
TASK-092,100195,,,false
TASK-093,100196,,,false
TASK-094,100197,,,false
TASK-095,100198,,,false
TASK-096,100199,,,false
TASK-097,100200,,,false
TASK-098,100201,,,false
TASK-099,100202,,,false
TASK-100,100203,,,false
TASK-101,100204,,,false
TASK-102,100205,,,false
TASK-103,100206,,,false
TASK-104,100207,,,false
TASK-105,100208,,,false
TASK-106,100209,,,false
TASK-107,100210,,,false
TASK-108,100211,,,false
TASK-109,100212,,,false
TASK-110,100213,,,false
TASK-111,100214,,,false
TASK-112,100215,,,false
TASK-113,100216,,,false
TASK-114,100217,,,false
TASK-115,100218,,,false
TASK-116,100219,,,false
TASK-117,100220,,,false
TASK-118,100221,,,false
TASK-119,100222,,,false
TASK-120,100223,,,false
TASK-121,100224,,,false
TASK-122,100225,,,false
TASK-123,100226,,,false
TASK-124,100227,,,false
TASK-125,100228,,,false
TASK-126,100229,,,false
TASK-127,100230,,,false
TASK-128,100231,,,false
TASK-129,100232,,,false
TASK-130,100233,,,false
TASK-131,100234,,,false
TASK-132,100235,,,false
TASK-133,100236,,,false
TASK-134,100237,,,false
TASK-135,100238,,,false
TASK-136,100239,,,false
TASK-137,100240,,,false
TASK-138,100241,,,false
TASK-139,100242,,,false
TASK-140,100243,,,false
TASK-141,100244,,,false
TASK-142,100245,,,false
TASK-143,100246,,,false
TASK-144,100247,,,false
TASK-145,100248,,,false
TASK-146,100249,,,false
TASK-147,100250,,,false
TASK-148,100251,,,false
TASK-149,100252,,,false
TASK-150,100253,,,false
TASK-151,100254,,,false
TASK-152,100255,,,false
TASK-153,100256,,,false
TASK-154,100257,,,false
TASK-155,100258,,,false
TASK-156,100259,,,false
TASK-157,100260,,,false
TASK-158,100261,,,false
TASK-159,100262,,,false
TASK-160,100263,,,false
TASK-161,100264,,,false
TASK-162,100265,,,false
TASK-163,100266,,,false
TASK-164,100267,,,false
TASK-165,100268,,,false
TASK-166,100269,,,false
TASK-167,100270,,,false
TASK-168,100271,,,false
TASK-169,100272,,,false
TASK-170,100273,,,false
TASK-171,100274,,,false
TASK-172,100275,,,false
TASK-173,100276,,,false
TASK-174,100277,,,false
TASK-175,100278,,,false
TASK-176,100279,,,false
TASK-177,100280,,,false
TASK-178,100281,,,false
TASK-179,100282,,,false
TASK-180,100283,,,false
TASK-181,100284,,,false
TASK-182,100285,,,false
TASK-183,100286,,,false
TASK-184,100287,,,false
TASK-185,100288,,,false
TASK-186,100289,,,false
TASK-187,100290,,,false
TASK-188,100291,,,false
TASK-189,100292,,,false
TASK-190,100293,,,false
TASK-191,100294,,,false
TASK-192,100295,,,false
TASK-193,100296,,,false
TASK-194,100297,,,false
TASK-195,100298,,,false
TASK-196,100299,,,false
TASK-197,100300,,,false
TASK-198,100301,,,false
TASK-199,100302,,,false
TASK-200,100303,,,false
TASK-201,100304,,,false
POST-SUBTASK-001,100305,,,false
