source_local_id,relationship,target_local_id,source_jira_key,target_jira_key,target_link_type_name,status
POST-SUBTASK-001,BLOCKS,POST-STORY-002,{{JIRA_KEY:POST-SUBTASK-001}},{{JIRA_KEY:POST-STORY-002}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-001,BLOCKS,POST-SUBTASK-002,{{JIRA_KEY:POST-SUBTASK-001}},{{JIRA_KEY:POST-SUBTASK-002}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-001,BLOCKS,POST-SUBTASK-003,{{JIRA_KEY:POST-SUBTASK-001}},{{JIRA_KEY:POST-SUBTASK-003}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-001,BLOCKS,POST-SUBTASK-004,{{JIRA_KEY:POST-SUBTASK-001}},{{JIRA_KEY:POST-SUBTASK-004}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-001,BLOCKS,POST-SUBTASK-005,{{JIRA_KEY:POST-SUBTASK-001}},{{JIRA_KEY:POST-SUBTASK-005}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-001,BLOCKS,POST-SUBTASK-006,{{JIRA_KEY:POST-SUBTASK-001}},{{JIRA_KEY:POST-SUBTASK-006}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-EPIC-014,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-EPIC-014}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-STORY-003,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-STORY-003}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-STORY-042,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-STORY-042}},Blocks,PENDING_POST_IMPORT_KEY_MAP
POST-SUBTASK-002,BLOCKS,POST-SUBTASK-003,{{JIRA_KEY:POST-SUBTASK-002}},{{JIRA_KEY:POST-SUBTASK-003}},Blocks,PENDING_POST_IMPORT_KEY_MAP
