path,change_type,prior_sha256,current_sha256,notes
AGENTS.md,MODIFIED,ae553fe7ca82e32dff375776fdfc1bbb539a7568edf059cfc24bc34af1f7368b,594b691a2b803eb85db92bf5d83b8fb8db2cb20602643a95dfbf6b2800a20cbc,W15 cumulative update
CHANGELOG.md,MODIFIED,c6d958d5f47c8a75a7952c0cf02db8b7c9db14c56b2920e015318a9baf700047,7159d71296e04ee4e9840be25f9e164738ee92fd0f4919b62654dfe907eecf13,W15 cumulative update
README.md,MODIFIED,fde0d351e6443d5387bda75f3b30ca8904fb518e7123f390bc3697d223b84e71,6fa23f12ee4c3a8b454c0085e67cb564f6df0f8e6c7b0b60a5aacaa88f21fe07,W15 cumulative update
configs/acceptance_registry.json,MODIFIED,76b73cbe63a4422e0a5028c0f7153474ab670282e9eb9426622d06e2815e2701,c41d125cacaa8794803ef5eab055c0942b875839bdc317c731bb9509f7de70a8,W15 cumulative update
configs/bas_science_registry.json,ADDED,,d4eb21b5902d084824f1965ba116260e99771ba59045674dee662511bd6cf808,W15 new canonical artifact
configs/hydration_manifest.json,MODIFIED,29e456a951ceb520c7be13a5054bc608719f223d8b3d0b08de325c0f8ea671ce,dcd36c876038ce74fe2b1a11c3e3e42ba82d8191c7ad8e20c9d2a763a178909e,W15 cumulative update
configs/implementation_plan.json,MODIFIED,8fcbac96fa3a3b91f2789de98cafaca2ca6e78ecdf1ab0fd064afd2be7f4f8db,326b15b782ef555d7ea85e53549ee77d80e10576482eea078d9c565885945868,W15 cumulative update
docs/45_SCIENTIFIC_BAS_SPECIFICATION.md,ADDED,,5686b9fc38c62ce089e0e2b277356d32101b6de1593f334bbf95dc3518f73065,W15 new canonical artifact
docs/46_BAS_CROSSFIT_LABELING_AND_ANTI_CIRCULARITY.md,ADDED,,3e5ccf7426247265a0549806ffa879d812f71745123689e9aa2807e3e4857d0e,W15 new canonical artifact
docs/47_BAS_GENERAL_FBS_AGGIE_EXCESS_AND_PEERS.md,ADDED,,9e00d6badf24665d5fbb668e16b9921604cbb96225a20810b75bcdbd6dbfc624,W15 new canonical artifact
docs/48_BAS_COMPONENTS_REGIME_STABILITY_AND_CALIBRATION.md,ADDED,,b0326bac2afe72c6b97abc8fc487343fbfd8d87c802de852664deb32234b7323,W15 new canonical artifact
docs/49_W15_EXPERIMENT_BOUNDARIES.md,ADDED,,7105d948bd16c7f92f7ce8af985d8e53e175a542d1430efca214cdc42a88b2ed,W15 new canonical artifact
docs/50_W15_TO_W16_HANDOFF.md,ADDED,,3f54d7387a78c3da1768ec3ca572268ae2287c7a1ddd0af0c199b816065a2635,W15 new canonical artifact
docs/context/BAS_CONTEXT.md,MODIFIED,28f85254615b1e4aef0eb7c522023a5ee2accfda8be4b9aaf18ccf17773f2f57,8a0161601c2462cce4c968df4b3c534a8ed72006f94724ad869b7e6624102ddd,W15 cumulative update
fixtures/bas/synthetic_bas_cases.json,ADDED,,00413c96c36edd7c6140bc259b6653a2ea0f3ddc7199905181e9b462bea5dce2,W15 new canonical artifact
governance/ACCEPTANCE_CONTROL_CATALOG.csv,MODIFIED,e415f06a4dd31850082b4cc86db7bc12c5614a057740529f32fa7f1689cb46db,7d61030051129886cdd28eb615237199422271f5280e6711a43984f4d78ce758,W15 cumulative update
governance/ACCEPTANCE_STATUS.json,MODIFIED,c685d5c07a5890889e8104097883a95f066a05269c927990a00e2ce4fbdc711a,81fe3e13f4c65e826be762c70e27965dec9450f872bc8a5d80abf731af12ee77,W15 cumulative update
governance/ACCEPTANCE_TASK_TRACEABILITY.csv,MODIFIED,ccb041694a2810113a4f43a12509fe55def7e2a85f0b97f51ea0577c81103ea2,cfa1378b39ce98a80f1a3c0f777c6550a587dd79af43ecd71725a4d88a21d7ad,W15 cumulative update
