path,change_type,prior_sha256,current_sha256,notes
CHANGELOG.md,MODIFIED,3284517b065b871123fd2fa25bc4cb86b46c8748a9f9270aa26b3e9219b96ffa,ac32bcbf627e568d289968d99da85044b4443459c20675b1ab4873a1a6f1ca0e,W13 cumulative update
README.md,MODIFIED,e86bdcbeae13e4ec2426872fa4d15c6eb79e3ef1fa68aa9c443b31d6e209d545,04090bcead62e5b9a0ebd8f891a7c1867a81618ef37529bc0a51a57f579c043a,W13 cumulative update
configs/acceptance_registry.json,MODIFIED,13ee2a90e8876229f374ef54262f2745e42c236862fd8e6fe1c40bb49f26d554,dea14d28a08f9ad9a39ebccb98c9ba988cb5c5bbf8a7a29e13f06b2c169bef0f,W13 cumulative update
configs/context_intelligence_registry.json,ADDED,,8f9b7cbd0de5b9ec32e5f68802da1d548c68bd5117778fd6553ce1c08408cfb6,W13 new canonical artifact
configs/hydration_manifest.json,MODIFIED,c41530a120ae8209c59ae28d151c82f897b40a8d96784b6c5ef9f120ced2ac16,393b4f06425168a1ce78dbb57f5a56b8989183a82c87577ac5f3ce22950d321a,W13 cumulative update
configs/implementation_plan.json,MODIFIED,c25f1e80834297aa9b5d942b0cb88ad4f2dd65d16b7b882bf84c0d1a3441eb4a,e8e72bdff1c243d739fac6efba1c364037ad001188f893285e26b0994f0ed178,W13 cumulative update
docs/29_COACHING_INTELLIGENCE_ARCHITECTURE.md,ADDED,,34f1738f58366efc3e6e2feea431399bfa1a8a1735d3f24c1084a81a5c790150,W13 new canonical artifact
docs/30_ENVIRONMENT_RESOURCE_CONTEXT_ARCHITECTURE.md,ADDED,,ffef412c1d3ef4e6ce65bf8f09b6bff5a50aebbe1ed42d8123086bfbe878f44e,W13 new canonical artifact
docs/31_REGULATORY_ENVIRONMENT_ARCHITECTURE.md,ADDED,,f51f19e341b4282ec8dacd74f892cd8b00edbfc07e266c5a865a3dce8b068c08,W13 new canonical artifact
docs/32_GAME_MECHANICS_ARCHITECTURE.md,ADDED,,c12aa1cce4bdc5560425648638894c7964a4451512cd8cbf5a0241359d956c37,W13 new canonical artifact
docs/33_OPPONENT_STYLE_SCHEDULE_OFFICIATING.md,ADDED,,31e70588f04c5c019512471f60cc0701a69425833ec357c1c4078bb9a5228d37,W13 new canonical artifact
docs/34_W13_EXPERIMENT_BOUNDARIES.md,ADDED,,be35187b0d886e6780ff0e0fd3ac8b277d502dab6d06d32854adfb25d154ff3a,W13 new canonical artifact
docs/35_W13_TO_W14_HANDOFF.md,ADDED,,af2cd0f93eafee70cdebb333d15741547c7bd9e3c6f2d98d2c800eca0cabc5ab,W13 new canonical artifact
docs/context/CONTEXT_INTELLIGENCE_CONTEXT.md,ADDED,,86e5c90bcca7b7aaafbea3bbc79b343afda8fdec37185d56f8d72a6679a7e59f,W13 new canonical artifact
governance/ACCEPTANCE_CONTROL_CATALOG.csv,MODIFIED,48842806e3359a9d9c0d25b7d6b434b549664ee3b80592f1aeb4444c70328810,47d5c03baacb29c413ac9e9425b60bd169f487b9683139c5c53a7ed16d9a8a2e,W13 cumulative update
governance/ACCEPTANCE_STATUS.json,MODIFIED,c9b32f353d4eeeece62d3d75e112f9e740ad040f75641b6f4185d581b882d720,4cb2df4c4847b35dc476c818d779559df26d9f39d01f0d29ba8de30941c93239,W13 cumulative update
governance/ACCEPTANCE_TASK_TRACEABILITY.csv,MODIFIED,dcec7c0a0e7e0b071042b960c6a71d823e52b580020fa62bd063ac6a43f175a0,9e44c048c697ca3b7cd27b8c7c03623ad83f18dbe7e8499eb4dae9546ea72bb0,W13 cumulative update
governance/ADAPTIVE_CHANGE_LOG.csv,MODIFIED,20b8c35c6e58a980d6eea49f6635bb83c1e927427123cc59cb662506778cc124,d570596d3a7bac093b8e5fbe8dabe01452607c8d6a2ef0e1c4a4ff086e3b5888,W13 cumulative update
governance/ADAPTIVE_CHANGE_LOG.md,MODIFIED,404c337289f0d36589e79eeaf38e227a556ced17a8a6bd49952fda6df17d025d,973757842e4b13acb98e93b647a6836162d49ffe959fd766b6025695e5de5ce1,W13 cumulative update
governance/ADR_ACCEPTANCE_TRACEABILITY.csv,MODIFIED,6d689968f528e150bfa9ecc3ef72b374be1518991dc4317f21283df02f317bd0,8320138fbcbc1f4d76d0129c5193a9504f8ed38a713610621cb0feab4b99af21,W13 cumulative update
governance/ADR_INDEX.csv,MODIFIED,fb0ecd74f2a5b8b091029106db7a4e7b2d49ea14ff973a1fffa02d767ede9a5e,4b9fa9002317d0e4215bd163963fedd671e6690ceca31eb26d54afcb70ace7ed,W13 cumulative update
governance/ASSUMPTIONS.csv,MODIFIED,04e2649c7e3e68ab44d60662990b7d89f2ac4f3ed94f7ffac9e632aba34cf836,c25c306807c01b481b5c6f1704a6ca525fc03d43ab7ebb5e829aacda6ccfd33b,W13 cumulative update
governance/ASSUMPTIONS.md,MODIFIED,abd928c7623dc26a534589ffb2b335a792996726a491f71c033cc92c8d256a57,d26a5faf434e85126f2dbbc2fb9898ec9b302f9c413572ebb6e3db8e408f1540,W13 cumulative update
governance/COACHING_INTELLIGENCE_GATE_STATUS.csv,ADDED,,80c94684e13897e172263f030b5dbfd57d24b16fb7813e56b60dffae22d23b62,W13 new canonical artifact
governance/COACH_CONFOUND_CONTROL_CATALOG.csv,ADDED,,2042fe8413144407d02177c749e921551cd5b31658d3f84eec7ebd2715b94bb6,W13 new canonical artifact
governance/COACH_DECISION_EVIDENCE_CANDIDATES.csv,ADDED,,6c940cc462eeba58ffb97060d0a023befda1e19e9f7657f81aa559ca42ce935b,W13 new canonical artifact
governance/COACH_DEVELOPMENT_RESIDUAL_CONTRACTS.csv,ADDED,,45391aff3e17761770df41e017e340a26aeeffa0e93f29b31e3a98fd57a16fb1,W13 new canonical artifact
governance/COACH_ROLE_EPISODE_CONTRACTS.csv,ADDED,,a2bbb9c9bedc9794e474b857abace831736a610f8cbafc50bb3cb10d16d40e07,W13 new canonical artifact
governance/CODEX_WORK_PACKET_QUEUE.csv,MODIFIED,f96e950c744af21a12508e37acf23348447e0b5745246d4aeb2f261668e912e8,3f9cd828a47d4e42d3dbe2cb7d3e56ebdbf5067a1c119a67db0fcfa06781306b,W13 cumulative update
governance/CONTEXT_GATE_STATUS.csv,ADDED,,e7575fd6482fba28b94ee25e036db1d512242af5cba9531b19daf4823277150f,W13 new canonical artifact
governance/CRITICAL_PATH.csv,MODIFIED,880b91788acc001d251f080b39ae008a09cfa58b60ed77f4480cf56a7bf45efb,a9aba6e76a4f6f188aa3c08fd4d1f66547665e1f5b9eaffeb1ffe4d921efebb3,W13 cumulative update
governance/CURRENT_BACKLOG.yaml,MODIFIED,cc06c279e61eb3b1c5f904c442a347f2f85d2cbb3d0c22e9b8e80bb38e40fd23,98bf748dc69b4be0afc2c83ec3adedb23e5cf156710ec42c3fa6fe89840b0335,W13 cumulative update
governance/CURRENT_STATE.yaml,MODIFIED,5db0d610c0a44cee21a91a4d811c87efad3a8ab5f672259edbd77b4393a52023,d8f1e73198cd26972a7ff4734261bf07d92a653c856b659a386f15698e020ece,W13 cumulative update
governance/DECISION_LEDGER.md,MODIFIED,a4e702c775c8dd849b0e63101f82ebaab9d9f2c26a0a4fc37c1c08e2b572906a,359c57280fc1772c3e2e02fe19fee8ab41ad1140db54300256feba938a1ceee1,W13 cumulative update
governance/EPIC_CATALOG.csv,MODIFIED,d9a10180c98b4b36c8cc8db685e95279e25508d27abbc905793f64f31eb74fb9,3f6a5c6415ed34ab0188b8b305d9ca2c9ff06727473db73ee6a80663985f12e1,W13 cumulative update
governance/FIELD_POSITION_HIDDEN_YARDS_CONTRACTS.csv,ADDED,,12a3ee28f945eecd1e722ff570f3933818f5668c039d64e35dadefd0928569bd,W13 new canonical artifact
