path,status,w06_sha256,w07_sha256
AGENTS.md,MODIFIED,72c943778727968abf97aa79d4bc341fe58da2d58395012a8201a02b6896b686,9b8ddd03706391a106fd15d456275ae30298a33418801e87f7f2562f2255b6c6
CHANGELOG.md,MODIFIED,18dd04d2bbdb8003c9d6504b34bfc5430fde0e311fe1808b3e55d733c643bafe,52635dced12451db0e15f67732339501c67e1a5320c5d660f72e21dfaeeabe6e
README.md,MODIFIED,38c05c1dec9b21323591ef8c5ca4d7ff5e45fa0550a51bf9418d2d201a0f094d,9fdc9ce049e2933a408bf9ab00fd7a603908dd852a322b7302f727df9869eb07
configs/acceptance_registry.json,MODIFIED,ef17fb16438e0c7e586fd9db5dc2cc48fd16443ee0207f48101d853bb9ce3f5a,66516aabcb4c64df618bf82b655d3d9dff7b3f594663e0162e0c5cfe6d8ad3fc
configs/architecture_registry.json,MODIFIED,996f0c436ad777e35681f3f4ec43600b16dbd539accf64b84a834be4eb625055,c98089722a3c271c014986f6732025b980d588d81c31560a623b25f2b91173df
configs/backlog_policy.json,MODIFIED,9ab79e57146f410fd836796ed2a8d7a754845c16945483adb01e625856ae9c46,5d8bc7aef0c84e0fc3e36e1fc16d26254f5d1952029913b9bc8e4dfa357b47c4
configs/entity_registry.json,ADDED,,66f4c69f830e34c23745b42bbcbc98b482bf141c3cb8a0e49bfd32c7fc99c647
configs/hydration_manifest.json,MODIFIED,8d5feba52156da2ca9176711fb4274115d8ec18a95ba20b4bd72c3e24bd3af11,a0eb51c2ba5e91927928f9784637de18e8a756fc4d730c39db8817911036cdf8
configs/implementation_plan.json,MODIFIED,cc5475f6fad66b19ae5945d8205acfd9bb1d15fc0e4aaae4afb0f936b5adf7fa,174281e22aa391d54756a056702db49a9e96598b00c74cbcb9f57ff5ede4f71d
docs/03_REQUIREMENTS_BASELINE.md,MODIFIED,163882e921a59deffe689d981e2b4106af7f0f72b634ca42c87880d7e7b2b3a3,bfa3f9965178fb579a1c1991e015db532f8bc8d289b697077f5038e5b913c92f
docs/10_IMPLEMENTATION_MASTER_PLAN.md,MODIFIED,2200528c17a413699aea120a826bdf5619e343910b0ed8164bf57de362146e3d,0a66613bfa4056b47ddc560c96d4d039cf07c5d42945c795f5c04c4ba808bcb6
docs/14_CANONICAL_ENTITY_ARCHITECTURE.md,ADDED,,44e0f776dbbb6d8e31f307fac37683fe8c86528c7c353c7e4d10220e4fedb595
docs/15_SOURCE_MAPPING_AND_EVIDENCE_IDENTITY.md,ADDED,,9fbf23d76009407c25ac28070668325e1df0739d655ccfc5d90ef5f53e9de71d
docs/16_ENTITY_RESOLUTION_AND_REVIEW.md,ADDED,,b9b4845be3f8fa2adcd4348c25e1a3d37dd0ca30bdb974c5e980e01584f0c08f
docs/17_ENTITY_STORAGE_EVALUATION.md,ADDED,,258a85bef9f21de348ad81736158f7c6dbfd7066fe9ff45769b6239f10a1a860
docs/context/ENTITY_CONTEXT.md,ADDED,,1f70222c7b1f4c245ec82fa4b10ea0a11c12524adb5d17c1c1535164f8034550
governance/ACCEPTANCE_CONTROL_CATALOG.csv,MODIFIED,9091f4bddc266236b4432895e87e8e589cf8c97870dfc7edf31c3d9eb4979e49,d2bd879d61d70eab1d478751b100f15995a83400c2ea5b8ad711b7094835d018
governance/ACCEPTANCE_STATUS.json,MODIFIED,ee03b1ece3336f8676972c0877cf2f7511d6b16358a637033533ffc67be31f22,cb17686a80b4e06fb4ef4272e96ea8105df89eacfebcfb7411768b6bdd84fbd4
governance/ACCEPTANCE_TASK_TRACEABILITY.csv,MODIFIED,fb31574f38f0a5b7c3b381b666250e14be78f047d21ab505813600b3827dd2d4,bbf1363d7a621f97b85c98519931cfbc43b74b8e7b2aa38e881bb27e45bfd792
