path,present,sha256,read_status,reason
README_FIRST.md,YES,6d60dcf0eb72cb79ff6604c9fb98137a2c9e5846b1d749d9a4d459ca2d6cb1df,READ_W01,Required master-prompt reading order / extension policy-schema ingest
final/FINAL_READINESS.md,YES,8b0749a45e54eb62c7d332a606fad3a79d91dcced33c6a6437b915c76deac2ee,READ_W01,Required master-prompt reading order / extension policy-schema ingest
cross_source/CROSS_SOURCE_INTELLIGENCE_FINDINGS.md,YES,c878b1cb333edf172e56a8e5b4b394cc5f765232ca1dd082c27e0696f5d3f443,READ_W01,Required master-prompt reading order / extension policy-schema ingest
cross_source/CANONICAL_DATA_RULES.md,YES,8d849fe1c69bf98bd0738d5fb3e2a5155f1cc6144366fa9699865115417c8fe6,READ_W01,Required master-prompt reading order / extension policy-schema ingest
final/UNRESOLVED_GAPS_AND_FOLLOWUPS.csv,YES,85e7a4cd4aa424e72ba0c421fe7aee66196ecc096bc2a7640fb27ef4aaa359f2,READ_W01,Required master-prompt reading order / extension policy-schema ingest
final/HOW_TO_USE_WITH_25_WAVE_SESSION.md,YES,313b2d0655752df709fc6615a40117121441ab8651ea874052cadf34dcf36356,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/README.md,YES,4ee3469318f2f0d28c5e9935b3f92529021a36c490c5243d335328154175cb7a,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/README.md,YES,3717a4f8978763ae8b9b145b554c91cc495b0e7d03b262427c332e56f167a05b,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/analysis/FINAL_PRE_25_WAVE_GAP_AUDIT.md,YES,42aef2810cb415a26829f2eb27a4fab9323d81a0436691e57eca71448a837aa8,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/analysis/FINAL_DATA_READINESS_BY_FEATURE_FAMILY.csv,YES,2c026ee5a36b78014596456800493fd843bfe557249a0aae3d3e9a0eca92ab6b,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/COACH_ROLE_CONDITIONED_PROFILE_POLICY.md,YES,9e356b1522f0e7ec90591a69857cb58ac1fe3f83fef01e49fb943b30da96e389,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/HOME_FIELD_STRENGTH_POLICY.md,YES,d6752023eacc84fee57bf4ba4fbf8d5a8ecc764e640f96d7e0b175ba95719366,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/NFL_DRAFT_AND_DEVELOPMENT_POLICY.md,YES,28478b02a916d17c99e88c61b745d4b82df3e59a388646867b54d0c8fe0f040f,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/PLAYER_AVAILABILITY_IMPACT_POLICY.md,YES,14d16af996dbbd460220b5f18b561e792556c197186b3b69cc39d2414fc2fbf4,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/PRESEASON_HONORS_AND_WATCHLIST_POLICY.md,YES,9f4cc5b8ee6b53aff1764b1dabf9664a13e74e8c122ae5a692485caf12e442ed,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/START_TIME_WEATHER_ENVIRONMENT_CONFIRMATION.md,YES,9ddc6c344e41b04874980f23cb10a0151307ab157d719d50ddf673d583231009,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/documentation/TRANSFER_COMPETITION_TRANSLATION_POLICY.md,YES,5e736660aac72f220c4cd58475c2399b5850a783c040f785a865aa959c9b39f1,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/AVAILABILITY_IMPACT_FEATURE_REGISTRY.csv,YES,303bbe60d158f0daa798cc35ee7d86a6c51e5dc6d13a9e4b6a470c9833fb1ff6,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/COACH_ROLE_EPISODE_SCHEMA.csv,YES,20c773b38ad4241e7fde4d91e49b500860adec8f51e3244500fefedf8768505a,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/COACH_UNIT_PERFORMANCE_SCHEMA.csv,YES,054a348a0ae8ee4285b2e9cdb47440c9f4fb5742d3e5828d8f9ea21f5a47bca9,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/DRAFT_DEVELOPMENT_FEATURE_REGISTRY.csv,YES,e10058875264356b39e68ae65d82dd6bacb97a00bba001bf22ea2e0e530fcbe2,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/HOME_FIELD_FEATURE_REGISTRY.csv,YES,adacc1d01ac3cb5594992020c4cad4013275a807c8a8731832cab2066370c7d6,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/PLAYER_TRANSFER_TRANSLATION_SCHEMA.csv,YES,f54a9ab074f7ae32d777dc764eb554874efecd271575815e728a21e9ead1b66d,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/PRESEASON_HONOR_SCHEMA.csv,YES,97cce72d378a23fe5b6e5b9d9be0656b8e5d023be6765a5859f6536de817df02,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/predictive_context_v1_1/schemas/PRESEASON_HONOR_SOURCE_REGISTRY.csv,YES,6caf6c2d3b5fc46af783dfc4a903753908acf97d8aff3312ed5daaea21c32883,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/documentation/FOOTBALL_MECHANICS_AND_GAME_STATE_POLICY.md,YES,d505912ea93dae6cb614e2549d61240c01258b2e2bdfe795c856b5f172a93eea,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/documentation/GAME_EDGE_CASE_AND_ROW_ORIENTATION_POLICY.md,YES,104161af80ef6d1e13219bf0896bd6575c53ea4ebdac93500d294c4facb472ad,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/documentation/GAME_STAKES_AND_CONTEXT_POLICY.md,YES,9110237163b531ee4c4af953ebb3da69ad7988436e10de04ca67d00ffce85bba,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/documentation/LIVE_REPLAY_AND_COLLAPSE_RESEARCH_CONTRACT.md,YES,24ae009dcf5a4bb8cfbb83413a9c153f66954e09b2e2e52ec24518053cf996b4,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/documentation/MARKET_AND_PREDICTION_SNAPSHOT_CONTRACT.md,YES,cf53f99b428c10c19a6e3c1e15a53b704cd7a4475ea0d8d0156d23b924c93f94,READ_W01,Required master-prompt reading order / extension policy-schema ingest
extensions/final_pre_25_wave_v1_2/documentation/OFFICIATING_AND_PENALTY_EVIDENCE_POLICY.md,YES,fdb9f9773e676ff014a1b63593677e60dad3b315aaaa5b30b3ff4cab19366654,READ_W01,Required master-prompt reading order / extension policy-schema ingest
