path,bytes,sha256,extension,indexed_w01
DATASET_RELATIONSHIP_MAP.md,2480,50218414acbafd940adc8fbe5e6264d66aaf52e2b433f2794c90f4fa25271377,.md,YES
DATA_COVERAGE_MATRIX.csv,5199,43223ecb4697d311a95619290bdbf231ee2e94c034fd212d2d6ee37bfee6f3d1,.csv,YES
DATA_SOURCE_PRIORITY.md,1160,40959dbba127e8ba3acfdb89ac2c1b7063a895dd9a1d4942bd027b8e91cbcab7,.md,YES
FINAL_V1_2_PRE_25_WAVE_VALIDATION.json,582,afd6b69686faef21188ce9901430022475879414c7d1f350ee526824f98946fa,.json,YES
JOIN_KEY_MATRIX.csv,2120,ca9cb8caf59e82f893af33887877a4eb486744bb23d48c64932ebad5e1334744,.csv,YES
PACK_MANIFEST.csv,26555,9412213173cda2f956f000a58cd0bbcaca74405a828c55ec3817a2ab172e2c44,.csv,YES
README_FIRST.md,2753,6d60dcf0eb72cb79ff6604c9fb98137a2c9e5846b1d749d9a4d459ca2d6cb1df,.md,YES
SOURCE_INVENTORY.csv,4952,ce9d4d417f08952d4593f00c87097dedcbef77c328acabcf8b57cf21ff623653,.csv,YES
STEP02_VALIDATION.json,1692,3bbd118d56df6c8f5587cce5df348806b8eab6aa7fd5096d23750a4884fb97ac,.json,YES
STEP03_VALIDATION.json,972,3498bb37f3ab42ffa88fe63b79ac2ec586af7611f2b37f92db113e5ad2d7850c,.json,YES
STEP04_VALIDATION.json,4254,f6b57ea959a2300223e4625ad2899bc1d977f969a238bb79f7d028570961b2cc,.json,YES
STEP05_VALIDATION.json,407,1352f4cb089449b733e2a9cc010a81ea03dc33c0b65bf63e4fccd67ebc332df4,.json,YES
STEP06_VALIDATION.json,451,3ef884333cc0296afd0a434555355b5751cadb3de0ee08620a0184f67c87176e,.json,YES
V1_1_EXTENSION_VALIDATION.json,290,1013fb5bccc4122cff163ff30c375a5d960baaff39b1523197eed227b83ecfe2,.json,YES
WEB_RESEARCH_SNAPSHOT.md,3937,e49ab10f746e02f4bb5784b1da32de7988dd3809f6e9f916b580b046c4b672ed,.md,YES
analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,1554,068f4337661bb114e2c12cf6d47d2595aff2cf7260690fe75083f6f55493744f,.csv,YES
analysis/CFBD_ENDPOINT_PRIORITY_SUMMARY.csv,483,418231f35f98c7128d7028afd1ecd870f9b47e4c7adf36f0a0c8e85f575825ef,.csv,YES
analysis/CFBD_HIGH_RISK_ASOF_FIELDS.csv,2783,72af23e55142d5343c392c1027030073d4fea2edf15bc04934172a60ab675e73,.csv,YES
analysis/CFBD_STEP03_FINDINGS.md,2597,368330f7123f2a2b86cfdc9e311f4504059a74bfb018c55b3f2644b7648983f6,.md,YES
analysis/CFBD_TEMPORAL_LEAKAGE_CLASS_SUMMARY.csv,374,7eb9652449690e4dec4246891c735ed03639a15d78db3030dce4ef92504e15a2,.csv,YES
analysis/INITIAL_FEATURE_FAMILY_SUMMARY.csv,382,100d6bbd7943dc78c3f456f13a49508ae67e464f99a1de4ccc97289c23aede03,.csv,YES
analysis/LIST_AND_TIMESTAMP_COLUMNS.csv,11860,797e3af9d4dd6cf1dcd5ea9c7b0ecdfeff46f92a4026ad4b2ec0c76bcfa61fa4,.csv,YES
analysis/POTENTIAL_LEAKAGE_AND_ASOF_RISK_COLUMNS.csv,90048,d2f54ad6b289fe5bd25e789e881c007fa909945695f79d0ec274a89316821bef,.csv,YES
analysis/RESOURCE_DOUBLE_COUNTING_TEST_PLAN.md,826,3f9e536b77d5d2d65565c51f9ffbeaf1b0e970e704b2857419e9f2602dc391ee,.md,YES
analysis/RESOURCE_FEATURE_REGISTRY.csv,1766,af1a398776fc2cfea3317f6d7fa95283a2026c0770249dbd84e08f135954d74f,.csv,YES
analysis/RESOURCE_FISCAL_SEASON_MAPPING.csv,569,ae3662f8f635f4651f570014930d05b6d8066d9e0732beb3a45a3a7e97bbacb3,.csv,YES
analysis/RESOURCE_MISSINGNESS_POLICY.csv,755,78f4de4b447b96b2a0f32e0a78792fee43c2827910d36eaccc3c79530b0dbbf5,.csv,YES
analysis/RESOURCE_PRODUCTION_GATES.csv,944,01ac03d31355a42a6ab6d843d1c867debe59486d5cd884fc02ca87d0e2ff0639,.csv,YES
