path,status,parent_size_bytes,current_size_bytes,parent_sha256,current_sha256
.codex/README.md,UNCHANGED,494,494,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec
.codex/TASK_PACKET_TEMPLATE.md,UNCHANGED,406,406,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342
.codex/WORKTREE_POLICY.md,UNCHANGED,668,668,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f
.editorconfig,UNCHANGED,240,240,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52
.env.example,UNCHANGED,223,223,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658
.gitattributes,UNCHANGED,195,195,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f
.github/CODEOWNERS,UNCHANGED,196,196,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f
.github/ISSUE_TEMPLATE/bug_report.yml,UNCHANGED,634,634,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a
.github/ISSUE_TEMPLATE/config.yml,UNCHANGED,27,27,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a
.github/pull_request_template.md,UNCHANGED,452,452,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7
.github/workflows/ci.yml,UNCHANGED,679,679,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a
.gitignore,MODIFIED,673,806,a5fc18c568ef0d6d5f1fa064e05ce38cfc02046b8c37acf95ca6d681e8c32c76,05a587aa01c3b526854e8d48fcc3a211b53cdec6a43e8a488c43a5eab8155a33
.python-version,UNCHANGED,5,5,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d
AGENTS.md,MODIFIED,1785,2381,20e7a2ec86a9511115582a9a6a320dfb7479d91824f619fdcda3977f62e099c3,3e06ee276851b65a612108686ebf46242697b81d167ec82543c06bf3fee4acdc
CHANGELOG.md,MODIFIED,13563,15306,ff84177e372ab86f15a1922ee29d7040930234ee6bce3cfc5db1183ca14973eb,efcdca73da311749c67bfefaacfc91d3b99f7a8d3f6ab5673c6044e199484e82
CONTRIBUTING.md,UNCHANGED,893,893,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53
README.md,MODIFIED,1826,3818,5b8a73d6d91d3d63ee20a72b7df117db3352a71d1cb686a9a6fb243438ca4338,f4f5547e7d27982d7d6ede3e5b02d3e0fa3d579509cb486426bb986fbcbb373f
artifacts/README.md,UNCHANGED,258,258,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b
configs/acceptance_registry.json,MODIFIED,493568,594955,157f3bb34e279d5025b48da2a7b874360e421f6738df62cf1fe681e4adf928af,7e15638c9d8b1e1ba8f022045d1f9b2e2e4a5bd8f46715c771a44d13324efdfa
configs/architecture_registry.json,UNCHANGED,14629,14629,a13ada012009709d0511c6e043e6b38306e44d6a1c0572792108ab9e6ea1c91c,a13ada012009709d0511c6e043e6b38306e44d6a1c0572792108ab9e6ea1c91c
configs/backlog_policy.json,MODIFIED,1693,1926,5a111297510f76a5b4a7247bdcfcd48076c83bb802d04a2991433fc1bcd76f37,2c570c0d260ea4b5f2c211f474928ffede7253ca7e5d1659e007c93638ae6a8e
configs/bas_science_registry.json,UNCHANGED,1799,1799,d4eb21b5902d084824f1965ba116260e99771ba59045674dee662511bd6cf808,d4eb21b5902d084824f1965ba116260e99771ba59045674dee662511bd6cf808
configs/context_intelligence_registry.json,UNCHANGED,1849,1849,8f9b7cbd0de5b9ec32e5f68802da1d548c68bd5117778fd6553ce1c08408cfb6,8f9b7cbd0de5b9ec32e5f68802da1d548c68bd5117778fd6553ce1c08408cfb6
configs/entity_registry.json,UNCHANGED,16533,16533,66f4c69f830e34c23745b42bbcbc98b482bf141c3cb8a0e49bfd32c7fc99c647,66f4c69f830e34c23745b42bbcbc98b482bf141c3cb8a0e49bfd32c7fc99c647
configs/experiment_artifact_policy.json,ADDED,,281,,9e56bf71e65541df1701c46337f7367f9b792064afc72ea8834ee29ff07ee861
configs/experiment_research_registry.json,ADDED,,5374,,f2ed563906cd8914618bf4073bd2e95e2ea3635e16e7bbb664a14c2d37f270e6
configs/experiment_store_policy.json,ADDED,,521,,eaf37aad659ebf07e84b92b858adf117eefa22bc963920a77f9fbf12593c35da
configs/feature_lifecycle_registry.json,UNCHANGED,2033,2033,66b7549d373507277498bb945ae9923704d7097f14a36240fac3d331fcb1a943,66b7549d373507277498bb945ae9923704d7097f14a36240fac3d331fcb1a943
configs/hpo_registry.json,ADDED,,476,,9c0f7862b5ca901687c6f7c0ffdd775996d90b5ce41f4a5782d6ae2aa1f25f6e
configs/hydration_manifest.json,MODIFIED,40045,53526,59dfafa11d044c94b8610bd097cd26f4a8305be66977e4057914c13bb2446dc8,5509565c04e5231109f884bae9fe9f3d57cde2d750febd4ff41de2ebff296e17
configs/implementation_plan.json,MODIFIED,176093,178101,326f23b3159e350ffd8725cbe0032a00e2175d12c082030b61468f4275a1a018,d3eb1bcbf47ec32a7d2db5c5e5280cf7f33772528a3dc4d731bc42c81ee266d2
configs/judging_rule_seal.json,ADDED,,3936,,8e1cb61d850babc5e80bd156aa79f6bbd5575d461df0d83ec6f6eed2a71fe758
configs/model_architecture_registry.json,UNCHANGED,1913,1913,635228c63cf38a044b3b6fa8a6779aed2c577ebd2f492b9b45d0e0f1727fb820,635228c63cf38a044b3b6fa8a6779aed2c577ebd2f492b9b45d0e0f1727fb820
configs/player_intelligence_registry.json,UNCHANGED,2615,2615,7ef331f15d8e341e823be1089d5f136fa8c00dbbdccf70d164002146c9e89a22,7ef331f15d8e341e823be1089d5f136fa8c00dbbdccf70d164002146c9e89a22
configs/raw_feature_registry.json,UNCHANGED,3789,3789,2e88c24bff06accc1231aad953e9657f7a52158983de4cf24586a95b16c44f69,2e88c24bff06accc1231aad953e9657f7a52158983de4cf24586a95b16c44f69
configs/repository_policy.json,UNCHANGED,1004,1004,4e46a40ce4fe6d1bc8faa049c5f74aad5db1fe01eb0be2b431b9d25b41132839,4e46a40ce4fe6d1bc8faa049c5f74aad5db1fe01eb0be2b431b9d25b41132839
configs/research_execution_registry.json,ADDED,,476,,55011de6949802cf563c7a79f55420157c8ca641edf69f40fcbf2085b3be7938
configs/research_resource_policy.json,ADDED,,383,,acc7721bac101384e457ab89a774843a3c067a34c047e06093187ca4b6d2f279
configs/result_comparison_policy.json,ADDED,,486,,57c253b7b41ed00b61fa33003c7b27a1d1ac2b3fedf658ef91d867f314cba6fc
configs/tamu_specialization_registry.json,UNCHANGED,1816,1816,f30bc0fa6c9f939cac8327cfc8e00120ee8ffacef6fdc10c6934e20f67038d48,f30bc0fa6c9f939cac8327cfc8e00120ee8ffacef6fdc10c6934e20f67038d48
configs/team_state_registry.json,UNCHANGED,2898,2898,5342e3ba89afa2d0bca57acdc7c75239d7ba7b0b26bf2a306161531015fc7975,5342e3ba89afa2d0bca57acdc7c75239d7ba7b0b26bf2a306161531015fc7975
configs/temporal_registry.json,UNCHANGED,16583,16583,0319642bfaef5000535227d30bce3a6654e38e8df82a57cce4e7803ffe36eb6b,0319642bfaef5000535227d30bce3a6654e38e8df82a57cce4e7803ffe36eb6b
configs/tournament_registry.json,ADDED,,631,,be1f301f4ad7f1c29f55c05ed5029babf58d8199b98580a2d235fe859066a393
configs/validation_science_registry.json,UNCHANGED,2609,2609,b9a01439c457232102b3d0f24f599a6cf852c712122574a64fb91c87d7c33c21,b9a01439c457232102b3d0f24f599a6cf852c712122574a64fb91c87d7c33c21
data/README.md,UNCHANGED,302,302,00ac41f052e61b9868a179def34bccfac8df9b3227b90dcafa2c2abdb21c52d9,00ac41f052e61b9868a179def34bccfac8df9b3227b90dcafa2c2abdb21c52d9
docs/00_PROJECT_CHARTER.md,UNCHANGED,1400,1400,6ba75c6cecc607bc43adf7ec90f8596064f2146c48b32df586b53d4975e9a152,6ba75c6cecc607bc43adf7ec90f8596064f2146c48b32df586b53d4975e9a152
docs/00_TERMINOLOGY.md,UNCHANGED,1532,1532,3b4874ca3e0dba4f188b717ff75b70a7f47709a7667f45658b28098ff6db0bc2,3b4874ca3e0dba4f188b717ff75b70a7f47709a7667f45658b28098ff6db0bc2
docs/01_ARCHITECTURE.md,UNCHANGED,6679,6679,a6f53bb36f185be5000a833dfb4caf5a99432f37575cd6d9908eb16e7f0c9381,a6f53bb36f185be5000a833dfb4caf5a99432f37575cd6d9908eb16e7f0c9381
docs/01_SOURCE_SYNTHESIS.md,UNCHANGED,2017,2017,4bc8cde084797a3315bae218ebce6ea84218774235fed53cca2d8526f289dd63,4bc8cde084797a3315bae218ebce6ea84218774235fed53cca2d8526f289dd63
docs/02_RECONNAISSANCE_FINDINGS_INDEX.md,UNCHANGED,2015,2015,08c1553df1a1b82e2c0f770e750c94b9e1b9f4fd1accc160bb73bc0a25e61be1,08c1553df1a1b82e2c0f770e750c94b9e1b9f4fd1accc160bb73bc0a25e61be1
docs/03_REQUIREMENTS_BASELINE.md,UNCHANGED,2658,2658,bfa3f9965178fb579a1c1991e015db532f8bc8d289b697077f5038e5b913c92f,bfa3f9965178fb579a1c1991e015db532f8bc8d289b697077f5038e5b913c92f
docs/04_REPOSITORY_OPERATIONS.md,UNCHANGED,1613,1613,2caf76a8a85592adf1fea83b4aff6867b622d25ff2975af555eeb1a6a8146868,2caf76a8a85592adf1fea83b4aff6867b622d25ff2975af555eeb1a6a8146868
docs/05_LOCAL_WINDOWS_SETUP.md,UNCHANGED,1147,1147,34d6b5c81b35ab1967e5d2a061eab604f597d53ca1eebf4df6eb3f33dcba5c80,34d6b5c81b35ab1967e5d2a061eab604f597d53ca1eebf4df6eb3f33dcba5c80
docs/06_GITHUB_CODEX_WORKFLOW.md,UNCHANGED,934,934,3ff557c129c061fb1be7a26a42b17c3ea31b00e4ab35a4d59cbaec030a6fe8da,3ff557c129c061fb1be7a26a42b17c3ea31b00e4ab35a4d59cbaec030a6fe8da
docs/07_PACKAGING_INTEGRITY.md,UNCHANGED,1691,1691,25e08209e76a304e2fae09835b90fa5741f506856d84747df066485e0c4c04b2,25e08209e76a304e2fae09835b90fa5741f506856d84747df066485e0c4c04b2
docs/08_REQUIREMENTS_AND_ACCEPTANCE_ARCHITECTURE.md,UNCHANGED,3473,3473,9cbad42b6035b8aeb421bb38dd4e0e99055574d590348da0a1db2fae95ac0043,9cbad42b6035b8aeb421bb38dd4e0e99055574d590348da0a1db2fae95ac0043
